"STATE","COUNTY","deaths","population","pop.density","deaths.100k","hisp.latino.pct","black.pct","native.pct","median.age","median.income","pct.public.transpo","high.risk.job","mask.frequent","R.pres.margin","health.condition","avg.temp","mask.mand.days","mask.mand.flag","stay.home.days","stay.home.flag","bars.closed.days","bars.closed.flag","rest.closed.days","rest.closed.flag","county.class"
"AL",1,113,55869,36.2871911916448,202.25885553706,2.8,19,0.3,38.2,58731,0.7,29.19,44.7,44.42,47.6,65.2,250,1,26,1,53,1,53,1,2
"AL",1,113,55869,36.2871911916448,202.25885553706,2.8,19,0.3,38.2,58731,0.7,29.19,44.7,44.42,47.6,65.2,250,1,26,1,53,1,53,1,2
"AL",11,42,10101,6.26192023329441,415.800415800416,2.6,74.8,0,40.2,37785,0,48.44,50.29,-49.86,60.7,64.8,250,1,26,1,53,1,53,1,6
"AL",11,42,10101,6.26192023329441,415.800415800416,2.6,74.8,0,40.2,37785,0,48.44,50.29,-49.86,60.7,64.8,250,1,26,1,53,1,53,1,6
"AL",13,71,19448,9.66599174472417,365.076100370218,1.4,45,0.1,40.8,40688,0.2,42.12,45.24,15.74,58.1,66,250,1,26,1,53,1,53,1,6
"AL",13,71,19448,9.66599174472417,365.076100370218,1.4,45,0.1,40.8,40688,0.2,42.12,45.24,15.74,58.1,66,250,1,26,1,53,1,53,1,2
"AL",15,325,113605,72.3946346244511,286.078957792351,3.8,20.7,0.2,39.6,47255,0.4,37.13,44.37,39,53.6,62.4,250,1,26,1,53,1,53,1,1
"AL",15,325,113605,72.3946346244511,286.078957792351,3.8,20.7,0.2,39.6,47255,0.4,37.13,44.37,39,53.6,62.4,250,1,26,1,53,1,53,1,3
"AL",17,124,33254,21.5224321412856,372.887472183797,2.4,39.6,0.3,42,42289,0.3,45.4,56.14,15.62,55.7,62.3,250,1,26,1,53,1,53,1,1
"AL",17,124,33254,21.5224321412856,372.887472183797,2.4,39.6,0.3,42,42289,0.3,45.4,56.14,15.62,55.7,62.3,250,1,26,1,53,1,53,1,6
"AL",19,45,26196,18.2726137109404,171.781951442968,1.6,4.6,1.1,46.5,41919,0.2,45.22,52.16,72.83,55.9,61.5,250,1,26,1,53,1,53,1,6
"AL",19,45,26196,18.2726137109404,171.781951442968,1.6,4.6,1.1,46.5,41919,0.2,45.22,52.16,72.83,55.9,61.5,250,1,26,1,53,1,53,1,8
"AL",21,116,44428,24.7587151667948,261.096605744125,7.8,9.2,0.1,38.7,47468,0,44.14,61.99,67.38,56.2,63.6,250,1,26,1,53,1,53,1,1
"AL",21,116,44428,24.7587151667948,261.096605744125,7.8,9.2,0.1,38.7,47468,0,44.14,61.99,67.38,56.2,63.6,250,1,26,1,53,1,53,1,4
"AL",23,25,12589,5.32101930301257,198.586067201525,0.4,42.6,0.1,46.3,35892,0,40.21,57.02,15.66,57.2,65.3,250,1,26,1,53,1,53,1,9
"AL",23,25,12589,5.32101930301257,198.586067201525,0.4,42.6,0.1,46.3,35892,0,40.21,57.02,15.66,57.2,65.3,250,1,26,1,53,1,53,1,6
"AL",25,61,23622,7.3646277644298,258.233849801033,0.3,45.8,0.1,42.5,37404,0,45.07,43.27,11.95,57.4,66.2,250,1,26,1,53,1,53,1,7
"AL",25,61,23622,7.3646277644298,258.233849801033,0.3,45.8,0.1,42.5,37404,0,45.07,43.27,11.95,57.4,66.2,250,1,26,1,53,1,53,1,3
"AL",27,59,13235,8.46089441661301,445.787684170759,3.1,15.5,0,43.3,40845,0,48.89,33.07,62.54,52.7,61.8,250,1,26,1,53,1,53,1,1
"AL",27,59,13235,8.46089441661301,445.787684170759,3.1,15.5,0,43.3,40845,0,48.89,33.07,62.54,52.7,61.8,250,1,26,1,53,1,53,1,9
"AL",29,44,14910,10.2780346020727,295.103957075788,2.5,2.7,0.1,43.1,44741,0,41.46,37.02,80.38,51.5,61.7,250,1,26,1,53,1,53,1,8
"AL",29,44,14910,10.2780346020727,295.103957075788,2.5,2.7,0.1,43.1,44741,0,41.46,37.02,80.38,51.5,61.7,250,1,26,1,53,1,53,1,8
"AL",3,313,223234,54.2138510869882,140.21161651003,4.6,9.2,0.7,43,58320,0,27.25,43.92,53.76,40.2,67.7,250,1,26,1,53,1,53,1,3
"AL",3,313,223234,54.2138510869882,140.21161651003,4.6,9.2,0.7,43,58320,0,27.25,43.92,53.76,40.2,67.7,250,1,26,1,53,1,53,1,3
"AL",31,127,52342,29.7640248606022,242.634977647014,7.3,16.8,1.2,39.3,55637,0,34.92,46.79,53.08,51.9,66.5,250,1,26,1,53,1,53,1,9
"AL",31,127,52342,29.7640248606022,242.634977647014,7.3,16.8,1.2,39.3,55637,0,34.92,46.79,53.08,51.9,66.5,250,1,26,1,53,1,53,1,4
"AL",33,140,55241,35.9702282597196,253.434948679423,2.8,16.1,0.6,42.4,48065,0.1,38.45,51.16,38.94,54.4,60.9,250,1,26,1,53,1,53,1,6
"AL",33,140,55241,35.9702282597196,253.434948679423,2.8,16.1,0.6,42.4,48065,0.1,38.45,51.16,38.94,54.4,60.9,250,1,26,1,53,1,53,1,3
"AL",35,30,12067,5.47948717761494,248.611916797879,0.7,47.8,0.2,44.8,37837,0.2,47.21,40.09,7.39,59.3,67,250,1,26,1,53,1,53,1,7
"AL",37,29,10663,6.32501065282045,271.968489168152,1,33.6,0.1,48.4,38990,0,41.1,38.66,33.49,57.2,63.1,250,1,26,1,53,1,53,1,8
"AL",39,122,37049,13.8803669897849,329.293638154876,1.7,13.4,0.1,43.3,42189,0,38.09,35.8,68.07,51.7,66.8,250,1,26,1,53,1,53,1,6
"AL",41,57,13772,8.73329900751123,413.88324135928,0.8,23.1,0.7,41.7,43163,0.8,39.03,41.83,47.82,52.7,65.6,250,1,26,1,53,1,53,1,8
"AL",43,201,83768,44.0197777233284,239.948428994365,4.4,1.2,0.3,40.8,44918,0.1,41,38.12,77.42,48.6,61.3,250,1,26,1,53,1,53,1,4
"AL",45,114,49172,33.8352758755695,231.839258114374,6.5,19.8,0.6,37.3,47214,0,37.88,46.22,46.27,53.7,66.6,250,1,26,1,53,1,53,1,4
"AL",47,156,37196,14.673443640032,419.399935476933,1.1,70.4,0.1,39.6,33845,0,42.22,52.52,-37.54,58.8,65.5,250,1,26,1,53,1,53,1,4
"AL",49,189,71513,35.532286616719,264.287612042566,14.6,1.4,1.1,39.5,40440,0.2,44.28,58.18,69.78,52.3,59.7,250,1,26,1,53,1,53,1,6
"AL",5,59,24686,10.769753592815,239.001863404359,4.4,47.4,0.3,40.4,32525,0.3,38.84,49.3,7.66,57.5,65.2,250,1,26,1,53,1,53,1,8
"AL",5,59,24686,10.769753592815,239.001863404359,4.4,47.4,0.3,40.4,32525,0.3,38.84,49.3,7.66,57.5,65.2,250,1,26,1,53,1,53,1,6
"AL",51,213,81209,50.6939777962075,262.28619980544,3,21.2,0.3,38.7,60891,0.1,29.9,48.75,48.25,52,64.7,250,1,26,1,53,1,53,1,2
"AL",53,80,36633,14.960823489106,218.382332869271,2.3,32,4,40,36275,0.3,36.59,38.98,37.4,53.8,67.1,250,1,26,1,53,1,53,1,6
"AL",55,363,102268,73.7908669652652,354.949739899089,3.9,15.4,0.4,41.4,44637,0.1,37.42,50.22,50.2,54.2,61.7,250,1,26,1,53,1,53,1,3
"AL",57,62,16302,10.0277219948407,380.321432953012,1.8,11.2,0,43.7,39856,0,42.23,43.13,67.36,49.9,62.6,250,1,26,1,53,1,53,1,6
"AL",59,83,31362,19.1016731031342,264.651489063197,17.2,4.3,0.3,38.6,43514,0.1,46.45,48.56,65.91,51.7,60.6,250,1,26,1,53,1,53,1,6
"AL",61,81,26271,17.6563284641699,308.324768756423,4,9.4,0.9,43.2,41732,0,38.54,44.66,73.76,56.1,67.2,250,1,26,1,53,1,53,1,3
"AL",63,34,8111,4.84012820528726,419.183824435951,1.7,79.5,0.4,40.9,24145,0,44.78,62.47,-63.02,62.4,64.2,250,1,26,1,53,1,53,1,8
"AL",65,78,14651,8.78395938819024,532.386867790594,0,59.4,0.2,40.5,34046,0.2,34.04,64.09,-18.62,57.9,64,250,1,26,1,53,1,53,1,3
"AL",67,43,17205,11.8250702654198,249.92734670154,2.6,26.6,0.2,44.4,50017,0,35.42,44.06,43.03,52.3,66.5,250,1,26,1,53,1,53,1,3
"AL",69,288,105882,70.5061076729826,272.000906669689,3.3,26.8,0.3,40.1,47580,0,31.19,43.57,42.67,52,67.6,250,1,26,1,53,1,53,1,3
"AL",7,64,22394,13.8904333989332,285.790836831294,2.6,22.1,0.1,40.9,47542,0,45.14,57.48,57.73,51.6,63.3,250,1,26,1,53,1,53,1,3
"AL",7,64,22394,13.8904333989332,285.790836831294,2.6,22.1,0.1,40.9,47542,0,45.14,57.48,57.73,51.6,63.3,250,1,26,1,53,1,53,1,1
"AL",71,113,51626,18.4903919520193,218.881958702979,2.9,3.4,1.1,43.1,41769,0,43.33,46.25,67.49,52.2,60,250,1,26,1,53,1,53,1,6
"AL",73,1565,658573,228.762356493403,237.635007812346,3.9,42.8,0.2,37.7,53901,0.9,25.93,62.98,-13.15,45.9,62.7,250,1,26,1,53,1,53,1,1
"AL",75,37,13805,8.81238827146025,268.018833755886,1.6,10.7,0,44.8,38364,0.7,41.17,52.89,72.24,54.4,62.7,250,1,26,1,53,1,53,1,8
"AL",77,249,92729,53.5959719101112,268.524409839425,2.7,10.1,0.4,41,48094,0,34.58,47.08,44.67,46.7,60.3,250,1,26,1,53,1,53,1,3
"AL",79,100,32924,18.4049729856878,303.729801968169,2.2,10.6,5.6,42.4,44886,0.2,46.48,42.15,54.64,46.3,60.3,250,1,26,1,53,1,53,1,3
"AL",81,176,164542,104.568836033013,106.963571610896,3.7,22.7,0.2,31.9,51463,0.7,27.71,56.38,20.1,42.7,63.3,250,1,26,1,53,1,53,1,3
"AL",83,157,98915,68.2032755121756,158.722135166557,6,13.6,0.7,39.7,59686,0.2,33.47,39.84,42.59,49.1,60.2,250,1,26,1,53,1,53,1,2
"AL",85,54,9726,5.24411101134048,555.212831585441,0.5,74.4,0.1,42,30036,0.4,42.48,46.6,-45.88,61.7,66,250,1,26,1,53,1,53,1,2
"AL",87,51,18068,11.4612991921572,282.266991365951,0.8,82.5,0.1,38.6,33370,0.3,32.57,54.67,-63.82,57.9,64.5,250,1,26,1,53,1,53,1,6
"AL",89,525,372909,179.616794000934,140.785017256221,4.9,24,0.6,38.5,65449,0.2,22.05,59.08,7.96,44.6,60.5,250,1,26,1,53,1,53,1,2
"AL",9,139,57826,34.6209760786274,240.376301317746,9.3,1.5,0.1,40.7,49358,0.1,38.65,46.09,80,46.3,61.8,250,1,26,1,55,1,55,1,1
"AL",9,139,57826,34.6209760786274,240.376301317746,9.3,1.5,0.1,40.7,49358,0.1,38.65,46.09,80,46.3,61.8,250,1,26,1,55,1,55,1,6
"AL",91,65,18863,7.45527407849824,344.589937973811,1,53.6,0.1,42.2,33241,0,34.26,51.39,-1.33,57.3,65,250,1,26,1,53,1,53,1,7
"AL",93,106,29709,15.4520295098594,356.794237436467,2.6,3.4,0.5,44.3,35930,0,42.77,35.51,77.8,52.1,61.2,250,1,26,1,53,1,53,1,7
"AL",95,230,96774,66.0333660592687,237.667142000951,14,2.7,0.4,38.8,45983,0.4,38.34,48.15,68.71,54.1,61.1,250,1,26,1,53,1,53,1,4
"AL",97,826,413210,129.774395854279,199.898356767745,2.9,35.5,0.8,37.9,47583,0.4,32.65,50.84,11.88,48.9,67.6,250,1,26,1,53,1,53,1,2
"AL",99,41,20733,7.80471925523266,197.75237544012,0.4,42.4,1.7,43.3,30441,0.4,37.33,38.09,15.86,56.8,66.9,250,1,26,1,53,1,53,1,7
"DE",1,346,180786,119.103406427192,191.386501167126,7.1,25.1,0.5,37.7,60910,1.1,31.63,81.15,-4.07,50.1,56.9,329,1,43,1,67,1,67,1,3
"DE",3,836,558753,506.02199345339,149.618883478031,9.9,24.6,0.2,38.4,73892,3.8,22.57,78.73,-37.09,40.5,55.5,329,1,43,1,67,1,67,1,1
"DE",5,497,234225,96.6022280718971,212.189134379336,9.2,11.8,0.3,49.6,63162,0.4,28.1,85.7,11.25,45,58.1,329,1,43,1,67,1,67,1,2
"DC",1,1140,705749,4457.84663095971,161.530515806611,11,45.4,0.2,34,86420,34.7,11.44,74.46,-89.53,32,57.5,311,1,35,1,291,1,74,1,1
