April 2020 - March 2021 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99, Rank out of 126 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",65.2,109,1.3,63.9
AL-003,"Baldwin County",67.7,99,0.9,66.8
AL-005,"Barbour County",65.2,80,0.4,64.8
AL-007,"Bibb County",63.3,81,0.6,62.7
AL-009,"Blount County",61.8,101,1.1,60.7
AL-011,"Bullock County",64.8,88,0.7,64.1
AL-013,"Butler County",66.0,109,1.4,64.6
AL-015,"Calhoun County",62.4,109,1.4,61
AL-017,"Chambers County",62.3,84,0.7,61.6
AL-019,"Cherokee County",61.5,94,0.9,60.6
AL-021,"Chilton County",63.6,94,0.9,62.7
AL-023,"Choctaw County",65.3,92,0.8,64.5
AL-025,"Clarke County",66.2,110,1.3,64.9
AL-027,"Clay County",61.8,101,1.1,60.7
AL-029,"Cleburne County",61.7,116,1.8,59.9
AL-031,"Coffee County",66.5,103,1.1,65.4
AL-033,"Colbert County",60.9,93,1.0,59.9
AL-035,"Conecuh County",67.0,112,1.6,65.4
AL-037,"Coosa County",63.1,90,0.9,62.2
AL-039,"Covington County",66.8,107,1.2,65.6
AL-041,"Crenshaw County",65.6,106,1.1,64.5
AL-043,"Cullman County",61.3,97,1.0,60.3
AL-045,"Dale County",66.6,95,0.9,65.7
AL-047,"Dallas County",65.5,107,1.1,64.4
AL-049,"DeKalb County",59.7,72,0.4,59.3
AL-051,"Elmore County",64.7,101,0.9,63.8
AL-053,"Escambia County",67.1,103,1.1,66
AL-055,"Etowah County",61.7,89,0.8,60.9
AL-057,"Fayette County",62.6,83,0.6,62
AL-059,"Franklin County",60.6,81,0.6,60
AL-061,"Geneva County",67.2,107,1.1,66.1
AL-063,"Greene County",64.2,74,0.3,63.9
AL-065,"Hale County",64.0,71,0.3,63.7
AL-067,"Henry County",66.5,95,0.8,65.7
AL-069,"Houston County",67.6,107,1.1,66.5
AL-071,"Jackson County",60.0,82,0.6,59.4
AL-073,"Jefferson County",62.7,95,0.9,61.8
AL-075,"Lamar County",62.7,81,0.6,62.1
AL-077,"Lauderdale County",60.3,89,0.8,59.5
AL-079,"Lawrence County",60.3,62,0.2,60.1
AL-081,"Lee County",63.3,71,0.3,63
AL-083,"Limestone County",60.2,68,0.4,59.8
AL-085,"Lowndes County",66.0,110,1.4,64.6
AL-087,"Macon County",64.5,79,0.4,64.1
AL-089,"Madison County",60.5,76,0.5,60
AL-091,"Marengo County",65.0,91,0.7,64.3
AL-093,"Marion County",61.2,74,0.5,60.7
AL-095,"Marshall County",61.1,86,0.7,60.4
AL-097,"Mobile County",67.6,108,1.1,66.5
AL-099,"Monroe County",66.9,116,1.8,65.1
AL-101,"Montgomery County",65.7,107,1.2,64.5
AL-103,"Morgan County",61.0,83,0.8,60.2
AL-105,"Perry County",64.2,87,0.6,63.6
AL-107,"Pickens County",63.8,86,0.7,63.1
AL-109,"Pike County",65.5,92,0.8,64.7
AL-111,"Randolph County",61.9,109,1.4,60.5
AL-113,"Russell County",64.4,67,0.2,64.2
AL-115,"St. Clair County",62.2,96,1.0,61.2
AL-117,"Shelby County",62.9,95,0.9,62
AL-119,"Sumter County",64.5,79,0.5,64
AL-121,"Talladega County",62.7,97,1.0,61.7
AL-123,"Tallapoosa County",62.7,81,0.6,62.1
AL-125,"Tuscaloosa County",63.4,74,0.4,63
AL-127,"Walker County",62.3,87,0.7,61.6
AL-129,"Washington County",66.2,97,0.8,65.4
AL-131,"Wilcox County",66.1,109,1.3,64.8
AL-133,"Winston County",60.5,69,0.3,60.2
AZ-001,"Apache County",52.0,122,2.3,49.7
AZ-003,"Cochise County",63.5,125,3.2,60.3
AZ-005,"Coconino County",55.1,125,3.3,51.8
AZ-007,"Gila County",62.1,125,3.6,58.5
AZ-009,"Graham County",63.7,126,3.5,60.2
AZ-011,"Greenlee County",58.8,125,3.1,55.7
AZ-012,"La Paz County",73.2,122,2.9,70.3
AZ-013,"Maricopa County",72.9,125,3.7,69.2
AZ-015,"Mohave County",64.5,124,3.1,61.4
AZ-017,"Navajo County",53.8,123,2.7,51.1
AZ-019,"Pima County",70.0,125,3.4,66.6
AZ-021,"Pinal County",71.2,125,3.6,67.6
AZ-023,"Santa Cruz County",62.6,125,2.7,59.9
AZ-025,"Yavapai County",61.5,125,3.3,58.2
AZ-027,"Yuma County",74.2,123,3.3,70.9
AR-001,"Arkansas County",62.2,56,0.0,62.2
AR-003,"Ashley County",63.9,86,0.7,63.2
AR-005,"Baxter County",57.1,50,-0.0,57.1
AR-007,"Benton County",57.5,67,0.2,57.3
AR-009,"Boone County",56.6,47,-0.2,56.8
AR-011,"Bradley County",62.9,67,0.2,62.7
AR-013,"Calhoun County",62.2,38,-0.5,62.7
AR-015,"Carroll County",56.7,47,-0.2,56.9
AR-017,"Chicot County",63.5,57,-0.0,63.5
AR-019,"Clark County",61.0,20,-1.1,62.1
AR-021,"Clay County",58.8,56,0.1,58.7
AR-023,"Cleburne County",58.6,41,-0.3,58.9
AR-025,"Cleveland County",61.5,27,-0.9,62.4
AR-027,"Columbia County",62.1,18,-1.2,63.3
AR-029,"Conway County",59.8,39,-0.4,60.2
AR-031,"Craighead County",59.4,50,-0.0,59.4
AR-033,"Crawford County",59.3,56,-0.0,59.3
AR-035,"Crittenden County",61.4,61,0.1,61.3
AR-037,"Cross County",60.4,41,-0.4,60.8
AR-039,"Dallas County",61.0,19,-1.2,62.2
AR-041,"Desha County",62.8,57,0.0,62.8
AR-043,"Drew County",62.9,60,0.1,62.8
AR-045,"Faulkner County",59.9,34,-0.7,60.6
AR-047,"Franklin County",58.9,44,-0.4,59.3
AR-049,"Fulton County",57.1,77,0.5,56.6
AR-051,"Garland County",60.2,40,-0.5,60.7
AR-053,"Grant County",60.9,22,-1.2,62.1
AR-055,"Greene County",59.0,52,0.0,59
AR-057,"Hempstead County",61.6,25,-1.0,62.6
AR-059,"Hot Spring County",60.7,25,-1.0,61.7
AR-061,"Howard County",60.6,31,-0.7,61.3
AR-063,"Independence County",58.3,38,-0.4,58.7
AR-065,"Izard County",57.3,45,-0.2,57.5
AR-067,"Jackson County",59.1,37,-0.5,59.6
AR-069,"Jefferson County",61.3,27,-0.9,62.2
AR-071,"Johnson County",58.0,35,-0.6,58.6
AR-073,"Lafayette County",62.9,34,-0.6,63.5
AR-075,"Lawrence County",58.5,48,-0.2,58.7
AR-077,"Lee County",61.6,57,0.1,61.5
AR-079,"Lincoln County",62.1,44,-0.3,62.4
AR-081,"Little River County",62.6,52,0.0,62.6
AR-083,"Logan County",59.5,32,-0.7,60.2
AR-085,"Lonoke County",60.8,31,-0.8,61.6
AR-087,"Madison County",56.3,46,-0.2,56.5
AR-089,"Marion County",57.0,46,-0.1,57.1
AR-091,"Miller County",63.4,46,-0.2,63.6
AR-093,"Mississippi County",60.2,51,0.1,60.1
AR-095,"Monroe County",61.6,54,-0.0,61.6
AR-097,"Montgomery County",59.7,42,-0.4,60.1
AR-099,"Nevada County",61.3,16,-1.4,62.7
AR-101,"Newton County",55.9,37,-0.5,56.4
AR-103,"Ouachita County",61.7,20,-1.3,63
AR-105,"Perry County",60.4,41,-0.4,60.8
AR-107,"Phillips County",62.1,58,0.2,61.9
AR-109,"Pike County",60.3,28,-0.9,61.2
AR-111,"Poinsett County",59.9,48,-0.2,60.1
AR-113,"Polk County",58.8,38,-0.5,59.3
